,Trans_desc_brand,Prediction
331,CHECK CRD PURCHASE 11/11 TIATO GARDEN CAFE       NORTHRIDGE    CA 111111XXXXXX1111 111111111111111                               ?MCC=1111TIATO GARDEN CAFE,Entertainment
332,DEBIT CRD PUR INTL 11/11 SUSHI GO BYWARD MA      OTTAWA        CD 111111XXXXXX1111 111111111111111                               ?MCC=1111SUSHI GO BYWARD MA,Entertainment
333,CHECK CRD PURCHASE 11/11 RED DUMPLING NOODL      WOODBRIDGE    NJ 111111XXXXXX1111 111111111111111                               ?MCC=1111RED DUMPLING NOODL,Retail Trade
334,CHECK CRD PURCHASE 11/11 MR VIDEO INC            mrvideoonline NE 111111XXXXXX1111 111111111111111                               ?MCC=1111 11MR VIDEO INC,Entertainment
335,CHECK CRD PURCHASE 11/11 MEMPHIS AT THE SANTORA  SANTA ANA     CA 111111XXXXXX1111 111111111111111                               ?MCC=1111 11MEMPHIS AT THE SANTORA,Communication Services
336,CHECK CRD PURCHASE 11/11 ALDACO'S                SAN ANTONIO   TX 111111XXXXXX1111 111111111111111                               ?MCC=1111 11ALDACO'S,Retail Trade
337,CHECK CRD PURCHASE 11/11 WDCH CAFE               LOS ANGELES   CA 111111XXXXXX1111 111111111111111                               ?MCC=1111WDCH CAFE,Entertainment
338,CHECK CRD PURCHASE 11/11 SARA'S PLACE            LOVINGTON     NM 111111XXXXXX1111 111111111111111                               ?MCC=1111 11SARA'S PLACE,Entertainment
339,CHECK CRD PURCHASE 11/11 POMODOROS GREEK &       ASHEVILLE     NC 111111XXXXXX1111 111111111111111                               ?MCC=1111POMODOROS GREEK &,Entertainment
340,CHECK CRD PURCHASE 11/11 GIZZI'S COFFEE          DELRAY BEACH  FL 111111XXXXXX1111 111111111111111                               ?MCC=1111 11GIZZI'S COFFEE,Entertainment
341,CHECK CRD PURCHASE 11/11 THEATRIX PRODUCTIO      111-111-1111  VA 111111XXXXXX1111 111111111111111                               ?MCC=1111THEATRIX PRODUCTIO,Retail Trade
342,CHECK CRD PURCHASE 11/11 INDOOR URBAN PAINT      KING          NC 111111XXXXXX1111 111111111111111                               ?MCC=1111INDOOR URBAN PAINT,Retail Trade
343,CHECK CRD PURCHASE 11/11 PEARL HOUSE RESTAURANT  CITRUS HEIGHT CA 111111XXXXXX1111 111111111111111                               ?MCC=1111 11PEARL HOUSE RESTAURANT,Entertainment
344,CHECK CRD PURCHASE 11/11 SHENANIGAN'S IRISH      111-1111111   TX 111111XXXXXX1111 111111111111111                               ?MCC=1111SHENANIGAN'S IRISH,Entertainment
345,CHECK CRD PURCHASE 11/11 JULIES SUBS & MORE      BREVARD       NC 111111XXXXXX1111 111111111111111                               ?MCC=1111JULIES SUBS & MORE,Retail Trade
346,CHECK CRD PURCHASE 11/11 GINGEI ASIAN CUISI      CARY          NC 111111XXXXXX1111 111111111111111                               ?MCC=1111GINGEI ASIAN CUISI,Entertainment
347,CHECK CRD PURCHASE 11/11 BAGELMAKERS/ SUBWAY CE  CHEYENNE      WY 111111XXXXXX1111 111111111111111                               ?MCC=1111 11BAGELMAKERS/ SUBWAY CE,Entertainment
348,CHECK CRD PURCHASE 11/11 POSH RESTAURANT         SCOTTSDALE    AZ 111111XXXXXX1111 111111111111111                               ?MCC=1111 11POSH RESTAURANT,Entertainment
349,CHECK CRD PURCHASE 11/11 AXIS RADIUS             111-1111111   AZ 111111XXXXXX1111 111111111111111                               ?MCC=1111 11AXIS RADIUS,Retail Trade
350,CHECK CRD PURCHASE 11/11 SWEETPEA BAKING COMPAN  PORTLAND      OR 111111XXXXXX1111 111111111111111                               ?MCC=1111 11SWEETPEA BAKING COMPAN,Retail Trade
351,CHECK CRD PURCHASE 11/11 LAMPSTAND               OGALLALA      NE 111111XXXXXX1111 111111111111111                               ?MCC=1111LAMPSTAND,Retail Trade
352,CHECK CRD PURCHASE 11/11 SANSU SUSHI             EAST LANSING  MI 111111XXXXXX1111 111111111111111                               ?MCC=1111SANSU SUSHI,Entertainment
353,CHECK CRD PURCHASE 11/11 ROCKIN CRAWFISH         OAKLAND       CA 111111XXXXXX1111 111111111111111                               ?MCC=1111ROCKIN CRAWFISH,Entertainment
354,CHECK CRD PURCHASE 11/11 R S RESTAURANT AND      TUCSON        AZ 111111XXXXXX1111 111111111111111                               ?MCC=1111 11R S RESTAURANT AND,Entertainment
355,CHECK CRD PURCHASE 11/11 PHI BAR & BISTRO        SAN ANTONIO   TX 111111XXXXXX1111 111111111111111                               ?MCC=1111 11PHI BAR & BISTRO,Entertainment
356,CHECK CRD PURCHASE 11/11 TEPECHI RESTAURANT      LONG BEACH    CA 111111XXXXXX1111 111111111111111                               ?MCC=1111 11TEPECHI RESTAURANT,Entertainment
357,CHECK CRD PURCHASE 11/11 MIA SUSHI               LOS ANGELES   CA 111111XXXXXX1111 111111111111111                               ?MCC=1111 11MIA SUSHI,Entertainment
358,CHECK CRD PURCHASE 11/11 JIMICHAELS RESTAURANT   SUN CITY      AZ 111111XXXXXX1111 111111111111111                               ?MCC=1111 11JIMICHAELS RESTAURANT,Entertainment
359,CHECK CRD PURCHASE 11/11 EXIT/IN                 111-1111111   TN 111111XXXXXX1111 111111111111111                               ?MCC=1111EXIT/IN,Entertainment
360,CHECK CRD PURCHASE 11/11 LAHACIENDA MEXICAN RES  DRAPER        UT 111111XXXXXX1111 111111111111111                               ?MCC=1111 11LAHACIENDA MEXICAN RES,Entertainment
361,CHECK CRD PURCHASE 11/11 BIG WHISKEY'S OF L      LITTLE ROCK   AR 111111XXXXXX1111 111111111111111                               ?MCC=1111BIG WHISKEY'S OF L,Entertainment
362,CHECK CRD PURCHASE 11/11 LA CUEVA CAFE           TAOS          NM 111111XXXXXX1111 111111111111111                               ?MCC=1111 11LA CUEVA CAFE,Entertainment
363,CHECK CRD PURCHASE 11/11 BIG-BOY-SPRINGFIELD #1  SPRINGFIELD   OH 111111XXXXXX1111 111111111111111                               ?MCC=1111 11BIG-BOY-SPRINGFIELD #1,Entertainment
364,CHECK CRD PUR RTRN 11/11 KINGS 11 HEBER CIT      HEBER CITY    UT 111111XXXXXX1111 111111111111111                               ?MCC=1111KINGS 11 HEBER CIT,Retail Trade
365,CHECK CRD PURCHASE 11/11 BIGLEAGUEDREAMS:GILBRT  GILBERT       AZ 111111XXXXXX1111 111111111111111                               ?MCC=1111 11BIGLEAGUEDREAMS:GILBRT,Retail Trade
366,CHECK CRD PURCHASE 11/11 YAMMI BOWL              GARLAND       TX 111111XXXXXX1111 111111111111111                               ?MCC=1111 11YAMMI BOWL,Entertainment
367,CHECK CRD PURCHASE 11/11 SUMOSHVICE1111111111    PROVO         UT 111111XXXXXX1111 111111111111111                               ?MCC=1111 11SUMOSHVICE1111111111,Retail Trade
368,CHECK CRD PURCHASE 11/11 LOONEY'S PUB - BEL      BEL AIR       MD 111111XXXXXX1111 111111111111111                               ?MCC=1111LOONEY'S PUB - BEL,Entertainment
369,DEBIT CRD PUR INTL 11/11 GOLDOR WHEEL LTD        KOWLOON       HK 111111XXXXXX1111 111111111111111                               ?MCC=1111 11GOLDOR WHEEL LTD,Retail Trade
370,DEBIT CRD PUR INTL 11/11 LONDIS COTTERS          WASHINGTON ST IE 111111XXXXXX1111 111111111111111                               ?MCC=1111 11LONDIS COTTERS,Retail Trade
371,CHECK CRD PURCHASE 11/11 WOFGANG PUCK D11111111  LAS VEGAS     NV 111111XXXXXX1111 111111111111111                               ?MCC=1111 11WOFGANG PUCK D11111111,Retail Trade
372,CHECK CRD PURCHASE 11/11 FOSTER ANTHONY'S PIZZA  APO           XX 111111XXXXXX1111 111111111111111                               ?MCC=1111 11FOSTER ANTHONY'S PIZZA,Entertainment
373,CHECK CRD PURCHASE 11/11 DUFFYS STEAKHOUSE       FOND DU LAC   WI 111111XXXXXX1111 111111111111111                               ?MCC=1111 11DUFFYS STEAKHOUSE,Entertainment
374,CHECK CRD PURCHASE 11/11 TASHES ANKH             WINDSOR MILLS MD 111111XXXXXX1111 111111111111111                               ?MCC=1111 11TASHES ANKH,Health and Community Services
375,CHECK CRD PURCHASE 11/11 SUSHI KUMA              EL DORADO     CA 111111XXXXXX1111 111111111111111                               ?MCC=1111SUSHI KUMA,Entertainment
376,CHECK CRD PURCHASE 11/11 SQ *SENOR SISIG         SF            CA 111111XXXXXX1111 111111111111111                               ?MCC=1111SQ *SENOR SISIG,Entertainment
377,CHECK CRD PURCHASE 11/11 TAMPOPO JAPANESE CAFE   DALLAS        TX 111111XXXXXX1111 111111111111111                               ?MCC=1111 11TAMPOPO JAPANESE CAFE,Entertainment
378,CHECK CRD PURCHASE 11/11 FLAMING AMYS BURRITO B  WILMINGTON    NC 111111XXXXXX1111 111111111111111                               ?MCC=1111 11FLAMING AMYS BURRITO B,Entertainment
379,CHECK CRD PURCHASE 11/11 B.P.O. ELKS NO 1111     TUCSON        AZ 111111XXXXXX1111 111111111111111                               ?MCC=1111 11B.P.O. ELKS NO 1111,Entertainment
380,CHECK CRD PURCHASE 11/11 MAX & ME CATERING       111-1111111   PA 111111XXXXXX1111 111111111111111                               ?MCC=1111MAX & ME CATERING,Entertainment
381,CHECK CRD PURCHASE 11/11 TEXAS COUNTRY DINE      BROWNSVILLE   TX 111111XXXXXX1111 111111111111111                               ?MCC=1111TEXAS COUNTRY DINE,Entertainment
382,CHECK CRD PURCHASE 11/11 SANDBAR & GRILL         111-111-1111  FL 111111XXXXXX1111 111111111111111                               ?MCC=1111 11SANDBAR & GRILL,Entertainment
383,CHECK CRD PURCHASE 11/11 DOS MUNDOS PACIFIC RES  SANTA ROSA    GT 111111XXXXXX1111 111111111111111                               ?MCC=1111 11DOS MUNDOS PACIFIC RES,Retail Trade
384,CHECK CRD PURCHASE 11/11 CHOP BAR                OAKLAND       CA 111111XXXXXX1111 111111111111111                               ?MCC=1111CHOP BAR,Entertainment
385,CHECK CRD PURCHASE 11/11 JUST WILLY'S            GLENDALE      AZ 111111XXXXXX1111 111111111111111                               ?MCC=1111 11JUST WILLY'S,Retail Trade
386,CHECK CRD PURCHASE 11/11 BOTTLE ROOM  THE        WHITTIER      CA 111111XXXXXX1111 111111111111111                               ?MCC=1111 11BOTTLE ROOM  THE,Entertainment
387,CHECK CRD PURCHASE 11/11 GARNER GOLF & CNTRY CL  GARNER        IA 111111XXXXXX1111 111111111111111                               ?MCC=1111 11GARNER GOLF & CNTRY CL,Entertainment
388,DEBIT CRD PUR INTL 11/11 THE SIN BIN SPORTS GRI  VANCOUVER     CD 111111XXXXXX1111 111111111111111                               ?MCC=1111 11THE SIN BIN SPORTS GRI,Entertainment
389,CHECK CRD PURCHASE 11/11 CAFE CALYPSO            SAN CLEMENTE  CA 111111XXXXXX1111 111111111111111                               ?MCC=1111 11CAFE CALYPSO,Entertainment
390,CHECK CRD PURCHASE 11/11 KRISPIES FRIED CHI      RICHMOND      VA 111111XXXXXX1111 111111111111111                               ?MCC=1111KRISPIES FRIED CHI,Entertainment
391,CHECK CRD PURCHASE 11/11 PEPITOS CUBAN CAFE-Ame  ORLANDO       FL 111111XXXXXX1111 111111111111111                               ?MCC=1111 11PEPITOS CUBAN CAFE-Ame,Entertainment
392,CHECK CRD PURCHASE 11/11 The Coastal Roaste      111-1111111   NC 111111XXXXXX1111 111111111111111                               ?MCC=1111The Coastal Roaste,Retail Trade
393,CHECK CRD PURCHASE 11/11 PINK PONY STEAKHOU      SCOTTSDALE    AZ 111111XXXXXX1111 111111111111111                               ?MCC=1111 11PINK PONY STEAKHOU,Entertainment
394,CHECK CRD PURCHASE 11/11 EZELLS FAMOUS CHICKEN   WOODINVILLE   WA 111111XXXXXX1111 111111111111111                               ?MCC=1111 11EZELLS FAMOUS CHICKEN,Entertainment
395,CHECK CRD PURCHASE 11/11 RYOKO'S RESTAURANT      SAN FRANCISCO CA 111111XXXXXX1111 111111111111111                               ?MCC=1111RYOKO'S RESTAURANT,Entertainment
396,CHECK CRD PURCHASE 11/11 GRANDPAS GRILL          GALLUP        NM 111111XXXXXX1111 111111111111111                               ?MCC=1111 11GRANDPAS GRILL,Entertainment
397,CHECK CRD PURCHASE 11/11 CABO'S BAR & GRILL      CASA GRANDE   AZ 111111XXXXXX1111 111111111111111                               ?MCC=1111 11CABO'S BAR & GRILL,Entertainment
398,CHECK CRD PURCHASE 11/11 BAJA BILLY'S            CRIPPLE CREEK CO 111111XXXXXX1111 111111111111111                               ?MCC=1111 11BAJA BILLY'S,Entertainment
399,CHECK CRD PURCHASE 11/11 LYNYRD SKYNYRD BBQ AND  LAS VEGAS     NV 111111XXXXXX1111 111111111111111                               ?MCC=1111 11LYNYRD SKYNYRD BBQ AND,Entertainment
400,CHECK CRD PURCHASE 11/11 Canton Lee              111-1111111   FL 111111XXXXXX1111 111111111111111                               ?MCC=1111Canton Lee,Retail Trade
401,CHECK CRD PURCHASE 11/11 NUEVO PRIMO RESTAU      BROOKLYN      NY 111111XXXXXX1111 111111111111111                               ?MCC=1111NUEVO PRIMO RESTAU,Entertainment
402,CHECK CRD PURCHASE 11/11 EB *MAKER FAIRE BA      EVENTBRITE.CO CA 111111XXXXXX1111 111111111111111                               ?MCC=1111EB *MAKER FAIRE BA,Entertainment
403,CHECK CRD PURCHASE 11/11 TONIC AT QUIGLEYS       WASHINGTON    DC 111111XXXXXX1111 111111111111111                               ?MCC=1111TONIC AT QUIGLEYS,Communication Services
404,CHECK CRD PURCHASE 11/11 LAMP POST PIZZA         THOUSAND OAKS CA 111111XXXXXX1111 111111111111111                               ?MCC=1111 11LAMP POST PIZZA,Entertainment
405,CHECK CRD PURCHASE 11/11 AJS SEAFOOD AND OY      DESTIN        FL 111111XXXXXX1111 111111111111111                               ?MCC=1111AJS SEAFOOD AND OY,Entertainment
406,DEBIT CRD PUR INTL 11/11 DOZO                    TAIPEI        TW 111111XXXXXX1111 111111111111111                               ?MCC=1111 11DOZO,Retail Trade
407,CHECK CRD PURCHASE 11/11 EMILIO`S GRILL & BAR    TELLURIDE     CO 111111XXXXXX1111 111111111111111                               ?MCC=1111 11EMILIO`S GRILL & BAR,Entertainment
408,CHECK CRD PURCHASE 11/11 CAFFE CAPRI             BOISE         ID 111111XXXXXX1111 111111111111111                               ?MCC=1111CAFFE CAPRI,Entertainment
409,CHECK CRD PURCHASE 11/11 ORIGAMI                 MINNEAPOLIS   MN 111111XXXXXX1111 111111111111111                               ?MCC=1111 11ORIGAMI,Retail Trade
410,CHECK CRD PURCHASE 11/11 DICKEYS MO111           BRENTWOOD     MO 111111XXXXXX1111 111111111111111                               ?MCC=1111 11DICKEYS MO111,Retail Trade
411,CHECK CRD PURCHASE 11/11 SERAFINA AND CICCHETTI  SEATTLE       WA 111111XXXXXX1111 111111111111111                               ?MCC=1111 11SERAFINA AND CICCHETTI,Retail Trade
412,CHECK CRD PURCHASE 11/11 BEAN AND BERRY          LOUISVILLE    CO 111111XXXXXX1111 111111111111111                               ?MCC=1111 11BEAN AND BERRY,Retail Trade
413,CHECK CRD PURCHASE 11/11 ROGUE TRANSFER AND REC  111-1111111   OR 111111XXXXXX1111 111111111111111                               ?MCC=1111 11ROGUE TRANSFER AND REC,Retail Trade
414,CHECK CRD PURCHASE 11/11 FINNAGELS               CLINTON       NJ 111111XXXXXX1111 111111111111111                               ?MCC=1111FINNAGELS,Retail Trade
415,CHECK CRD PURCHASE 11/11 LA CRIOLLITA CAFET      HIALEAH       FL 111111XXXXXX1111 111111111111111                               ?MCC=1111LA CRIOLLITA CAFET,Entertainment
416,CHECK CRD PURCHASE 11/11 BILLY BURGER DRIVE      WILBUR        WA 111111XXXXXX1111 111111111111111                               ?MCC=1111BILLY BURGER DRIVE,Entertainment
417,CHECK CRD PURCHASE 11/11 R'S PIZZA LLC           SILVER CLIFF  CO 111111XXXXXX1111 111111111111111                               ?MCC=1111 11R'S PIZZA LLC,Entertainment
418,CHECK CRD PURCHASE 11/11 THE BOHEMIAN CLUB       MEDFORD       OR 111111XXXXXX1111 111111111111111                               ?MCC=1111 11THE BOHEMIAN CLUB,Entertainment
419,CHECK CRD PURCHASE 11/11 SUMBAY GIFTS INC.       CLERMONT      FL 111111XXXXXX1111 111111111111111                               ?MCC=1111 11SUMBAY GIFTS INC.,Retail Trade
420,CHECK CRD PURCHASE 11/11 1111 WHP NIGHTCLUB      CHANDLER      AZ 111111XXXXXX1111 111111111111111                               ?MCC=1111 111111 WHP NIGHTCLUB,Entertainment
421,CHECK CRD PURCHASE 11/11 GOURMET TO YOU          BOCA RATON    FL 111111XXXXXX1111 111111111111111                               ?MCC=1111GOURMET TO YOU,Retail Trade
422,CHECK CRD PURCHASE 11/11 FRANK`S PLACE LIQU      SOUTH BEND    IN 111111XXXXXX1111 111111111111111                               ?MCC=1111FRANK`S PLACE LIQU,Retail Trade
423,CHECK CRD PURCHASE 11/11 TELLEZ TAMALES INC      SAN ANTONIO   TX 111111XXXXXX1111 111111111111111                               ?MCC=1111TELLEZ TAMALES INC,Retail Trade
424,CHECK CRD PURCHASE 11/11 11 STAR THAI CUISINE    LYNNWOOD      WA 111111XXXXXX1111 111111111111111                               ?MCC=1111 1111 STAR THAI CUISINE,Entertainment
425,CHECK CRD PURCHASE 11/11 DEES COUNTRY DINER      BLAINE        WA 111111XXXXXX1111 111111111111111                               ?MCC=1111 11DEES COUNTRY DINER,Entertainment
426,CHECK CRD PURCHASE 11/11 MESSINAS PIZZA          STEWARTSTOWN  PA 111111XXXXXX1111 111111111111111                               ?MCC=1111 11MESSINAS PIZZA,Entertainment
427,CHECK CRD PURCHASE 11/11 SQ *SEAN MITCHELL       Weatherford   TX 111111XXXXXX1111 111111111111111                               ?MCC=1111SQ *SEAN MITCHELL,"Trade, Professional and Personal Services"
428,CHECK CRD PURCHASE 11/11 RICE JUNKIES            PORTLAND      OR 111111XXXXXX1111 111111111111111                               ?MCC=1111 11RICE JUNKIES,Entertainment
429,CHECK CRD PURCHASE 11/11 SUMMER HOUSE RESTA      SIASCONSET    MA 111111XXXXXX1111 111111111111111                               ?MCC=1111SUMMER HOUSE RESTA,Entertainment
430,CHECK CRD PURCHASE 11/11 GOLDEN CHEF             CHANDLER      AZ 111111XXXXXX1111 111111111111111                               ?MCC=1111 11GOLDEN CHEF,Entertainment
431,CHECK CRD PURCHASE 11/11 PERNICANO'S ITALIA      EL CAJON      CA 111111XXXXXX1111 111111111111111                               ?MCC=1111PERNICANO'S ITALIA,Entertainment
432,CHECK CRD PURCHASE 11/11 EUREST @ PRIME11111111  EAGAN         MN 111111XXXXXX1111 111111111111111                               ?MCC=1111 11EUREST @ PRIME11111111,Entertainment
433,DEBIT CRD PURCHASE 11/11 MASSIMO DUTTI COVE      LONDON        GB 111111XXXXXX1111 111111111111111                               ?MCC=1111MASSIMO DUTTI COVE,Retail Trade
434,CHECK CRD PURCHASE 11/11 TIP THAI RESTAURAN      HAYWARD       CA 111111XXXXXX1111 111111111111111                               ?MCC=1111TIP THAI RESTAURAN,Entertainment
435,CHECK CRD PURCHASE 11/11 LIL'S PLACE -11 'S DIN  WHITEHORSE    CD 111111XXXXXX1111 111111111111111                               ?MCC=1111 11LIL'S PLACE -11 'S DIN,Entertainment
436,CHECK CRD PURCHASE 11/11 TOMS TOOL COMPANY       AUSTIN        TX 111111XXXXXX1111 111111111111111                               ?MCC=1111TOMS TOOL COMPANY,Retail Trade
437,CHECK CRD PURCHASE 11/11 IN N OUT                TOMBALL       TX 111111XXXXXX1111 111111111111111                               ?MCC=1111IN N OUT,Retail Trade
438,CHECK CRD PURCHASE 11/11 RAIL ROADS OF HAWA      LAHAINA       HI 111111XXXXXX1111 111111111111111                               ?MCC=1111RAIL ROADS OF HAWA,Retail Trade
439,CHECK CRD PURCHASE 11/11 ENZO'S BBQ ALE HOU      OCEANSIDE     CA 111111XXXXXX1111 111111111111111                               ?MCC=1111ENZO'S BBQ ALE HOU,Entertainment
440,CHECK CRD PURCHASE 11/11 SAMMYS KAFE   11111111  CEDAR RAPIDS  IA 111111XXXXXX1111 111111111111111                               ?MCC=1111 11SAMMYS KAFE   11111111,Entertainment
441,CHECK CRD PURCHASE 11/11 EAT GOOD                LIBERTY LAKE  WA 111111XXXXXX1111 111111111111111                               ?MCC=1111EAT GOOD,Retail Trade
442,CHECK CRD PURCHASE 11/11 HON-DAH RESORT & CASIN  PINETOP       AZ 111111XXXXXX1111 111111111111111                               ?MCC=1111 11HON-DAH RESORT & CASIN,Travel
443,CHECK CRD PURCHASE 11/11 BAJA BISTRO             BRISTOW       VA 111111XXXXXX1111 111111111111111                               ?MCC=1111BAJA BISTRO,Entertainment
444,CHECK CRD PURCHASE 11/11 JUNES SOUTHERN ANT      SALADO        TX 111111XXXXXX1111 111111111111111                               ?MCC=1111JUNES SOUTHERN ANT,Retail Trade
445,CHECK CRD PURCHASE 11/11 LEGENDS EXPERIENCED     ARVADA        CO 111111XXXXXX1111 111111111111111                               ?MCC=1111 11LEGENDS EXPERIENCED,Retail Trade
446,CHECK CRD PURCHASE 11/11 TITOS RESTAURANT        CARSON CITY   NV 111111XXXXXX1111 111111111111111                               ?MCC=1111 11TITOS RESTAURANT,Entertainment
447,CHECK CRD PURCHASE 11/11 LAMAD-EAST COBB #11     MARIETTA      GA 111111XXXXXX1111 111111111111111                               ?MCC=1111 11LAMAD-EAST COBB #11,Entertainment
448,CHECK CRD PURCHASE 11/11 CHENG GARDEN II         EDISON        NJ 111111XXXXXX1111 111111111111111                               ?MCC=1111CHENG GARDEN II,Entertainment
449,CARIBBEAN AI1111111111111MOTO         TTCARIBBEAN AI1111111111111,Entertainment
450,CHECK CRD PURCHASE 11/11 MORGANTOWN BREW CO      MORGANTOWN    WV 111111XXXXXX1111 111111111111111                               ?MCC=1111MORGANTOWN BREW CO,Entertainment
451,CHECK CRD PURCHASE 11/11 KITCHEN 11              PHOENIX       AZ 111111XXXXXX1111 111111111111111                               ?MCC=1111 11KITCHEN 11,Entertainment
452,CHECK CRD PURCHASE 11/11 PRAIRIE GRILL RESTAURA  DAVENPORT     IA 111111XXXXXX1111 111111111111111                               ?MCC=1111 11PRAIRIE GRILL RESTAURA,Entertainment
453,CHECK CRD PURCHASE 11/11 DADDY'S GRILL           OLDSMAR       FL 111111XXXXXX1111 111111111111111                               ?MCC=1111DADDY'S GRILL,Entertainment
454,CHECK CRD PURCHASE 11/11 SODEXHO       11111111  PLANO         TX 111111XXXXXX1111 111111111111111                               ?MCC=1111SODEXHO       11111111,Services to Transport
455,CHECK CRD PURCHASE 11/11 OCHOAS MEXICAN RES      SEBASTOPOL    CA 111111XXXXXX1111 111111111111111                               ?MCC=1111OCHOAS MEXICAN RES,Entertainment
456,CHECK CRD PURCHASE 11/11 TRU*SERV COAST TO       BREMOND       TX 111111XXXXXX1111 111111111111111                               ?MCC=1111TRU*SERV COAST TO,Retail Trade
457,CHECK CRD PURCHASE 11/11 TACO BELL1111111111111  EL PASO       TX 111111XXXXXX1111 111111111111111                               ?MCC=1111 11TACO BELL1111111111111,Entertainment
458,CHECK CRD PURCHASE 11/11 CHINA BAY INC           BEAVERTON     OR 111111XXXXXX1111 111111111111111                               ?MCC=1111 11CHINA BAY INC,Entertainment
459,CHECK CRD PURCHASE 11/11 BEACH MEX               EL SEGUNDO    CA 111111XXXXXX1111 111111111111111                               ?MCC=1111 11BEACH MEX,Entertainment
460,CHECK CRD PURCHASE 11/11 SENOR RIC'S             AURORA        CO 111111XXXXXX1111 111111111111111                               ?MCC=1111 11SENOR RIC'S,Entertainment
461,CHECK CRD PURCHASE 11/11 WENDY'S SPENCER    Q11  SPENCER       WV 111111XXXXXX1111 111111111111111                               ?MCC=1111 11WENDY'S SPENCER    Q11,Entertainment
462,CHECK CRD PURCHASE 11/11 THAI WESTLAKE CUIS      WESTLAKE VILL CA 111111XXXXXX1111 111111111111111                               ?MCC=1111THAI WESTLAKE CUIS,Entertainment
463,CHECK CRD PURCHASE 11/11 OASIS VIVA BEACH        BENITO JUAREZ MX 111111XXXXXX1111 111111111111111                               ?MCC=1111 11OASIS VIVA BEACH,Retail Trade
464,CHECK CRD PURCHASE 11/11 HARRY'S ITALIAN         NEW YORK      NY 111111XXXXXX1111 111111111111111                               ?MCC=1111 11HARRY'S ITALIAN,Entertainment
465,CHECK CRD PURCHASE 11/11 FORTIS MEXICAN ELDER R  EL PASO       TX 111111XXXXXX1111 111111111111111                               ?MCC=1111 11FORTIS MEXICAN ELDER R,Entertainment
466,CHECK CRD PURCHASE 11/11 MOODAEPO II             LOS ANGELES   CA 111111XXXXXX1111 111111111111111                               ?MCC=1111MOODAEPO II,Entertainment
467,CHECK CRD PURCHASE 11/11 FORK AND KNIFE RESTAUR  MANITOWOC     WI 111111XXXXXX1111 111111111111111                               ?MCC=1111 11FORK AND KNIFE RESTAUR,Entertainment
468,CHECK CRD PURCHASE 11/11 CORKYS KITCHEN EAS      EASTVALE      CA 111111XXXXXX1111 111111111111111                               ?MCC=1111CORKYS KITCHEN EAS,Entertainment
469,CHECK CRD PURCHASE 11/11 WAIKIKI HAWAIIAN G      HAWTHORNE     CA 111111XXXXXX1111 111111111111111                               ?MCC=1111WAIKIKI HAWAIIAN G,Entertainment
470,CHECK CRD PURCHASE 11/11 TOPOLO                  POWELL        WY 111111XXXXXX1111 111111111111111                               ?MCC=1111 11TOPOLO,Retail Trade
471,CHECK CRD PURCHASE 11/11 FIELD OF DREAMS MO      111-111111111 IA 111111XXXXXX1111 111111111111111                               ?MCC=1111FIELD OF DREAMS MO,Retail Trade
472,CHECK CRD PURCHASE 11/11 CAPE PIER CHOWDER HOUS  CAPE PORPOISE ME 111111XXXXXX1111 111111111111111                               ?MCC=1111 11CAPE PIER CHOWDER HOUS,Entertainment
473,RECUR DEBIT CRD PMT11/11 SNAP SANTA CLARA-CKFR   111-111-1111  CA 111111XXXXXX1111 111111111111111                               ?MCC=1111 11SNAP SANTA CLARA-CKFR,Travel
474,CHECK CRD PURCHASE 11/11 QUINCE RESTAURANT       SAN FRANCISCO CA 111111XXXXXX1111 111111111111111                               ?MCC=1111QUINCE RESTAURANT,Entertainment
475,CHECK CRD PURCHASE 11/11 CREPERIE BY JACK N      LOS ANGELES   CA 111111XXXXXX1111 111111111111111                               ?MCC=1111 11CREPERIE BY JACK N,Entertainment
476,CHECK CRD PURCHASE 11/11 CASA BLANCA CAFE        WINSLOW       AZ 111111XXXXXX1111 111111111111111                               ?MCC=1111 11CASA BLANCA CAFE,Entertainment
477,CHECK CRD PURCHASE 11/11 EL CEVICHE DEL REY      MIAMI         FL 111111XXXXXX1111 111111111111111                               ?MCC=1111EL CEVICHE DEL REY,Entertainment
478,CHECK CRD PURCHASE 11/11 ROCCHINO'S              PHILADELPHIA  PA 111111XXXXXX1111 111111111111111                               ?MCC=1111ROCCHINO'S,Retail Trade
479,CHECK CRD PURCHASE 11/11 SUNNYS ESPRESSO AND GI  PORTLAND      OR 111111XXXXXX1111 111111111111111                               ?MCC=1111 11SUNNYS ESPRESSO AND GI,Entertainment
480,CHECK CRD PURCHASE 11/11 BREKEN KITCHEN          PORTLAND      OR 111111XXXXXX1111 111111111111111                               ?MCC=1111 11BREKEN KITCHEN,Entertainment
481,CHECK CRD PURCHASE 11/11 DON CAMARON MIAMI       MIAMI         FL 111111XXXXXX1111 111111111111111                               ?MCC=1111DON CAMARON MIAMI,Entertainment
482,CHECK CRD PURCHASE 11/11 JASPERS SMOKEHOUSE      LAKE HAVASU C AZ 111111XXXXXX1111 111111111111111                               ?MCC=1111 11JASPERS SMOKEHOUSE,Entertainment
483,CHECK CRD PURCHASE 11/11 THE STARLIGHT LOUNGE    EUGENE        OR 111111XXXXXX1111 111111111111111                               ?MCC=1111 11THE STARLIGHT LOUNGE,Entertainment
